Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Tail Call Insertion Sort/[1..100],1.048598408241293e-6,1.039247477709287e-6,1.0712598012674972e-6,4.5821272359909975e-8,1.851439827403032e-8,7.813203541025653e-8
Tail Call Insertion Sort/[1..1000],1.0956022152508994e-5,1.085583704832558e-5,1.1152106237661945e-5,4.831204647549706e-7,2.527861896479745e-7,8.10046691799533e-7
Tail Call Insertion Sort/replicate 100 5,9.835773262924778e-7,9.719763279353433e-7,1.0113593038251825e-6,5.740629254644358e-8,3.46358164963087e-8,9.83214904934604e-8
Tail Call Insertion Sort/replicate 1000 5,9.801376842298323e-6,9.727839073967554e-6,9.918622187446923e-6,3.18449419435035e-7,2.0723191803506323e-7,4.5173071470288094e-7
"Tail Call Insertion Sort/[-89, 74, 8, 10, 34]",5.223143508687028e-8,5.161108922249898e-8,5.317210457469192e-8,2.673001319177634e-9,1.907541228796584e-9,3.83574686723602e-9
Tail Call Insertion Sort/random 256-element list,3.0780448430298233e-6,2.9635541640725823e-6,3.2861064472592962e-6,4.798406744745649e-7,3.255956607904804e-7,7.200651357625729e-7
Tail Call Insertion Sort/random 512-element lit,5.907838989926568e-6,5.7428332164374964e-6,6.369892277388581e-6,8.73360579278665e-7,4.1833660508132744e-7,1.7975266861036783e-6
Tail Call Insertion Sort/random 1024-elemnt list,1.3560353809538242e-5,1.2537310118818463e-5,1.5548178463757967e-5,5.198238649019567e-6,3.3008237385765357e-6,8.708096987680821e-6
Newbie's Quicksort/reverse [1..10],1.215196498115139e-6,1.1458009240399203e-6,1.3343614366361935e-6,2.898260489697316e-7,2.146805672613826e-7,4.749515923870788e-7
Newbie's Quicksort/reverse [1..100,9.766065975022704e-5,9.264824580744625e-5,1.0577404150703286e-4,2.082826001142313e-5,1.382645962198483e-5,3.073875293693124e-5
Newbie's Quicksort/[1..10],1.2173156110471788e-7,7.292549560520924e-8,3.1351669705817147e-7,3.203840527422944e-7,1.1887544749116965e-8,6.82974022332509e-7
Newbie's Quicksort/[1..100],5.389551846159941e-7,5.292591997017489e-7,5.538507165841599e-7,4.099118189487208e-8,2.8571625363891213e-8,5.860167924574367e-8
Newbie's Quicksort/[1..1000],4.9265133412489084e-6,4.874271789704108e-6,5.0789413689357706e-6,2.758072425523666e-7,1.3511944601512016e-7,5.203227216658986e-7
Newbie's Quicksort/replicate 100 5,5.121269736888373e-7,5.07512479978525e-7,5.19390946239181e-7,1.9112308230107143e-8,1.3856881028345573e-8,2.606248614912608e-8
Newbie's Quicksort/replicate 1000 5,4.860108061057059e-6,4.824929114796916e-6,4.925926253380677e-6,1.6556994099155068e-7,1.0337251419658876e-7,2.768675767281202e-7
